"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)"
"Dimension: Environmental sustainability"
"SDG 9.4 By 2030, upgrade infrastructure and retrofit industries to make them sustainable, with increased resource-use efficiency and greater adoption of clean and environmentally sound technologies and industrial processes, with all countries taking action in accordance with their respective capabilities"
"Definition: Human-originated carbon dioxide emissions stemming from the burning of fossil fuels, gas flaring and cement manufacture, expressed in kilograms per unit of gross domestic product (GDP) in constant 2010 US dollars. Carbon dioxide emitted by forest biomass through depletion of forest areas is included."
"Source: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"74"," Ukraine","1.28","","0.86","","0.76","","0.75","","0.74","","0.71","","0.68","","0.60","","0.62","","0.52",""
"31"," United Arab Emirates","0.25","","0.27","","0.33","","0.32","","0.33","","0.33","","0.31","","0.31","","0.31","","0.32",""
"13"," United Kingdom","0.27","","0.24","","0.21","","0.19","","0.20","","0.19","","0.17","","0.16","","0.15","","0.14",""
"17"," United States","0.45","","0.40","","0.36","","0.34","","0.32","","0.32","","0.31","","0.29","","0.28","","0.27",""
"55"," Uruguay","0.12","","0.12","","0.11","","0.12","","0.13","","0.11","","0.09","","0.10","","0.09","","0.08",""
"106"," Uzbekistan","1.90","","1.34","","0.85","","0.86","","0.82","","0.69","","0.64","","0.53","","0.43","","0.41",""
"113"," Venezuela (Bolivarian Republic of)","0.34","","0.35","","0.36","","0.30","","0.32","","0.29","","0.30","","0.30","","0.32","","0.34",""
"117"," Viet Nam","0.22","","0.28","","0.33","","0.31","","0.29","","0.29","","0.30","","0.36","","0.36","","0.33",""
"179"," Yemen","0.20","","0.23","","0.22","","0.22","","0.20","","0.25","","0.25","","0.14","","0.14","","0.14",""
"146"," Zambia","0.08","","0.07","","0.04","","0.04","","0.05","","0.05","","0.06","","0.06","","0.06","","0.10",""
"150"," Zimbabwe","0.39","","0.44","","0.40","","0.41","","0.36","","0.36","","0.35","","0.35","","0.30","","0.27",""
"169"," Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"185"," Burundi","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182"," Burkina Faso","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"58"," Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"110"," Belize","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
